0,1,2,3,4,5,6,7
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,144
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,34
,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint A,4
,,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
,,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,0
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,196
,02:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,24
,,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,77
,,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,24
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,DCA,Ronald Reagan Washington National,Arlington,VA,Concourse A,0
,,,,,,North Checkpoint,8
,,DEN,Denver International,Denver,CO,South,52
,,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Blue-2,35
,,,,,,Red 3,9
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
,,EWR,Newark Liberty International,Newark,NJ,CKPT-A1,47
,,,,,,CKPT-B3,0
,,,,,,CKPT-C1,20
,,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,73
,,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,181
,,GUM,Guam International,Tamuning,GU,GUM01,22
,,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area:  PreCheck,53
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,0
,,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
,,JFK,John F Kennedy International,Jamaica,NY,Terminal 1,2
,,,,,,Terminal 4 Main,211
,,,,,,Terminal 5,110
,,,,,,Terminal 7,0
,,,,,,Terminal 8,2
,,LAS,Harry Reid International,Las Vegas,NV,Term 1 - D,138
,,LGA,LaGuardia,Flushing,NY,TB-CHK,21
,,,,,,TC CHK West,4
,,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
,,MCO,Orlando International,Orlando,FL,EAST Checkpoint,0
,,,,,,WEST Checkpoint,0
,,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,1
,,MIA,Miami International,Miami,FL,North 2,10
,,,,,,South-J1,9
,,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,South CP,20
,,ORD,Chicago O'Hare International,Chicago,IL,10,109
,,,,,,4B,38
,,,,,,6A,27
,,PDX,Portland International,Portland,OR,PDX A/B/C,4
,,,,,,PDX D/E,6
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,43
,,,,,,T-4 A,75
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,17
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,2
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,82
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
10/22/2023,02:00,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
,,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,0
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,229
,03:00,ABE,Lehigh Valley International,Allentown,PA,ABE Main Terminal,14
,,ABI,Abilene Regional,Abilene,TX,ABIA,63
,,ABQ,Albuquerque International Sunport,Albuquerque,NM,Checkpoint for A/B Gates,28
,,ALB,Albany International,Albany,NY,Main Checkpoint,55
,,ALW,Walla Walla Regional,Walla Walla,WA,ALW Main,21
,,AMA,Rick Husband Amarillo International,Amarillo,TX,AMA30,16
,,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,110
,,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,301
,,,,,,New T North Checkpoint,47
,,ATW,Appleton International,Appleton,WI,Checkpoint,35
,,AUS,Austin-Bergstrom International,Austin,TX,AUS01,328
,,,,,,AUS02E,29
,,,,,,AUS02W,275
,,,,,,AUS03,75
,,AVP,Wilkes-Barre/Scranton International,Avoca,PA,Checkpoint,26
