0,1,2,3,4,5,6,7
,,PDX,Portland International Airport,Portland,OR,PDX A/B/C,1
,,,,,,PDX D/E,0
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,10
,,,,,,T-4 A,11
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,8
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,95
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,59
,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint A,10
,,,,,,Security Checkpoint G,37
,,SGF,Springfield/Branson National,Springfield,MO,Main Checkpoint,0
,,SJC,San Jose International,San Jose,CA,Terminal A,2
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,366
,,SLC,Salt Lake City International,Salt Lake City,UT,Main,26
,02:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,92
,,ATL,Hartsfield Atlanta International,Atlanta,GA,Main Checkpoint,67
,,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,24
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,DCA,Washington Reagan National,Arlington,VA,Concourse A,1
,,,,,,North Checkpoint,2
,,DEN,Denver International,Denver,CO,South,120
,,DTW,Detroit Metro Wayne County,Detroit,MI,Red 3,11
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
,,EWR,Newark International,Newark,NJ,CKPT-A1,45
,,,,,,CKPT-B3,0
,,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,17
,,FAT,Fresno Air Terminal,Fresno,CA,FAT 01,18
,,GSN,Saipan,Saipan,MP,GSN01,176
,,GUM,Antonio B. Won Pat International,Tamuning,GU,GUM01,12
,,IAD,Washington-Dulles International,Dulles,VA,Passenger Screening Area:  PreCheck,126
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,0
,,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
,,JFK,John F. Kennedy International,Jamaica,NY,Terminal 1,1
,,,,,,Terminal 4 Main,268
,,,,,,Terminal 5,197
,,,,,,Terminal 7,0
,,,,,,Terminal 8,6
,,JNU,Juneau International,Juneau,AK,JNU-01,13
,,LAS,Harry Reid International Airport,Las Vegas,NV,Term 1 - D,63
,,,,,,Terminal 3 - E Upper,21
,,LAX,Los Angeles International,Los Angeles,CA,Terminal 1 - Passenger,22
,,LGA,LaGuardia,Flushing,NY,TB-CHK,24
,,,,,,TC CHK West,6
,,LGB,Long Beach Daugherty Field,Long Beach,CA,Checkpoint,0
,,MCO,Orlando International,Orlando,FL,EAST Checkpoint,0
,,,,,,WEST Checkpoint,0
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,1
,,MIA,Miami International,Miami,FL,North 2,104
,,,,,,South-J1,35
,,MSP,Minneapolis-St. Paul International,St. Paul,MN,South CP,34
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
6/25/2023,02:00,ORD,Chicago-OHare International,Chicago,IL,10,92
,,,,,,4B,30
,,,,,,6A,42
,,PDX,Portland International Airport,Portland,OR,PDX A/B/C,2
,,,,,,PDX D/E,9
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,53
,,,,,,T-4 A,30
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,49
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,7
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,123
,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint G,2
,,SGF,Springfield/Branson National,Springfield,MO,Main Checkpoint,0
,,SJC,San Jose International,San Jose,CA,Terminal A,0
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,373
,03:00,ABE,Lehigh Valley International,Allentown,PA,ABE Main Terminal,9
,,ABQ,Albuquerque International Sunport,Albuquerque,NM,Checkpoint for A/B Gates,136
,,ACY,Atlantic City International,Pleasantville,NJ,Main Checkpoint,9
,,,,,,Overflow Checkpoint,12
,,ALB,Albany County,Albany,NY,Main Checkpoint,72
,,AMA,Amarillo International,Amarillo,TX,AMA30,51
,,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,223
,,ATL,Hartsfield Atlanta International,Atlanta,GA,Main Checkpoint,317
,,AUS,Austin Bergstrom International,Austin,TX,AUS01,300
,,,,,,AUS02E,92
,,,,,,AUS02W,240
,,,,,,AUS03,96
,,BDL,Bradley International,Windsor Locks,CT,A1,195
,,,,,,A2,17
,,BFL,"Meadows Field, Bakersfield",Bakersfield,CA,BFL01,10
,,BHM,Birmingham International,Birmingham,AL,Central,22
,,BIL,Billings Logan,Billings,MT,BILM,30
,,BIS,Bismarck Municipal,Bismarck,ND,Checkpoint A,48
,,BLI,Bellingham International,Bellingham,WA,BLIZ,52
,,BNA,Nashville International,Nashville,TN,BNA Central,757
,,BOI,Boise Air Terminal/Gowen Field,Boise,ID,BOI-Ckpt,21
,,BOS,Logan International,East Boston,MA,B1,245
,,,,,,B5,251
,,,,,,C2,437
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,BUF,Buffalo Niagara International Airport,Cheektowaga,NY,Main Checkpoint,54
,,BWI,Baltimore-Washington International,BWI Airport,MD,B Checkpoint,127
,,CAE,Columbia Metropolitan,West Columbia,SC,CAE-A,17
,,CLE,Cleveland Hopkins International,Cleveland,OH,South,131
,,CLT,Charlotte/Douglas International,Charlotte,NC,A Checkpoint,87
,,,,,,C Checkpoint,85
,,CMH,John Glenn Columbus International Airport,Columbus,OH,A,134
,,CVG,Cincinnati/Northern Kentucky International,Hebron,KY,T3-MCP,156
,,DCA,Washington Reagan National,Arlington,VA,Concourse A,36
,,,,,,North Checkpoint,54
,,DEN,Denver International,Denver,CO,North,258
,,,,,,South,808
,,DFW,Dallas/Fort Worth International,DFW Airport,TX,C21,320
,,,,,,D30,52
,,,,,,E18,188
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
6/25/2023,03:00,DFW,Dallas/Fort Worth International,DFW Airport,TX,E8,17
,,DLH,Duluth International,Duluth,MN,Checkpoint 1,13
,,DSM,Des Moines International,Des Moines,IA,DSM Passenger (Alpha),71
,,DTW,Detroit Metro Wayne County,Detroit,MI,Blue-2,210
,,,,,,Red 3,85
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,228
,,EUG,Mahlon Sweet Field (Eugene),Eugene,OR,EUGZ,68
,,EWR,Newark International,Newark,NJ,CKPT-A1,447
,,,,,,CKPT-B1,166
,,,,,,CKPT-B2,4
,,,,,,CKPT-B3,85
,,,,,,CKPT-C1,321
,,FAR,Hector International,Fargo,ND,Gate,76
,,FAY,Fayetteville Regional,Fayetteville,NC,Terminal,25
,,FLL,Ft. Lauderdale-Hollywood International,Fort Lauderdale,FL,T1 Checkpoint,129
,,,,,,T3E Checkpoint,29
,,,,,,T3F Checkpoint,59
,,FSD,Sioux Falls Regional,Sioux Falls,SD,Gate,89
,,GEG,Spokane International,Spokane,WA,GEG-A/B,92
,,,,,,GEGC,50
,,GFK,Grand Forks International,Grand Forks,ND,Gate,48
,,GRK,Killeen-Ft. Hood Regional,Killeen,TX,GRK01,27
,,GSN,Saipan,Saipan,MP,GSN01,52
,,GSP,Greenville-Spartanburg,Greer,SC,Checkpoint,35
,,GUM,Antonio B. Won Pat International,Tamuning,GU,GUM01,24
,,HOU,Houston Hobby,Houston,TX,CENTRAL,240
,,HRL,Valley International,Harlingen,TX,HRL01,2
,,HTS,Tri-State,Huntington,WV,Main Terminal,5
,,IAD,Washington-Dulles International,Dulles,VA,East Mezzanine,21
,,,,,,Passenger Screening Area:  PreCheck,246
,,IAH,George Bush Intercontinental,Houston,TX,10/AN Terminal,115
,,,,,,12/AS Terminal,215
,,,,,,30/CN Terminal,87
,,ICT,Wichita Mid-Continent,Wichita,KS,Wichita Main,101
,,ILM,Wilmington International,Wilmington,NC,Terminal,44
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,51
,,,,,,Checkpoint B,156
,,ISP,Long Island MacArthur,Ronkonkoma,NY,ISP East,55
,,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,4
,,JFK,John F. Kennedy International,Jamaica,NY,Terminal 1,1
