0,1,2,3,4,5,6,7
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,01:00,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,1
,,MIA,Miami International,Miami,FL,North 2,15
,,,,,,South-J1,22
,,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,South CP,19
,,ORD,Chicago O'Hare International,Chicago,IL,10,436
,,,,,,4B,8
,,,,,,6A,13
,,PDX,Portland International,Portland,OR,PDX A/B/C,17
,,,,,,PDX D/E,2
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,28
,,,,,,T-4 A,16
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,13
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,138
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,76
,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint A,56
,,,,,,Security Checkpoint G,17
,,SGF,Springfield-Branson National,Springfield,MO,Main Checkpoint,0
,,SJC,Norman Y Mineta San Jose International,San Jose,CA,Terminal A,0
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,184
,,SLC,Salt Lake City International,Salt Lake City,UT,Main,9
,02:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,110
,,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,43
,,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,26
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,DCA,Ronald Reagan Washington National,Arlington,VA,Concourse A,0
,,,,,,North Checkpoint,11
,,DEN,Denver International,Denver,CO,South,138
,,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Blue-2,19
,,,,,,Red 3,27
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
,,EWR,Newark Liberty International,Newark,NJ,CKPT-A1,75
,,,,,,CKPT-B3,102
,,,,,,CKPT-C1,67
,,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,11
,,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,20
,,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T4 Checkpoint,4
,,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,200
,,GUM,Guam International,Tamuning,GU,GUM01,51
,,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area:  PreCheck,100
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,0
,,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
,,JFK,John F Kennedy International,Jamaica,NY,Terminal 1,63
,,,,,,Terminal 4 Main,284
,,,,,,Terminal 5,218
,,,,,,Terminal 7,0
,,,,,,Terminal 8,9
,,JNU,Juneau International,Juneau,AK,JNU-01,11
,,LAS,Harry Reid International,Las Vegas,NV,Term 1 - D,88
,,LAX,Los Angeles International,Los Angeles,CA,Terminal 1 - Passenger,125
,,LGA,LaGuardia,Flushing,NY,TB-CHK,40
,,,,,,TC CHK West,13
,,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
,,MCO,Orlando International,Orlando,FL,EAST Checkpoint,0
,,,,,,WEST Checkpoint,0
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,02:00,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,2
