hourly_temp_2m,hourly_relative_humidity,hourly_precipitation,wind_speed_100,Airline_code
23.383,89.36646,0.,11.885453,ATL
22.983,89.61066,1.,23.598541,ATL
22.682999,94.95835,1.8,18.416384,ATL
22.383,92.363945,4.,12.096214,ATL
22.083,93.7777,3.3,8.427383,ATL
22.032999,94.93417,2.5,5.154415,ATL
21.782999,96.39354,0.7,11.874544,ATL
21.282999,96.97534,2.,13.627795,ATL
21.182999,96.97308,2.4,4.198285,ATL
21.182999,96.97308,2.7,3.7064266,ATL
21.182999,98.17407,18.1,8.891344,ATL
21.282999,96.97534,23.5,23.444265,ATL
20.983,94.60174,1.8,3.9763298,ATL
21.233,93.16089,2.3,4.3349743,ATL
22.282999,86.03032,0.2,8.854829,ATL
22.483,83.94243,0.2,9.346143,ATL
23.032999,81.948494,0.2,8.854829,ATL
23.633,80.26686,0.4,8.714677,ATL
25.432999,72.9687,0.3,8.28,ATL
26.682999,69.24762,0.1,9.793058,ATL
27.333,69.15887,0.,10.829958,ATL
27.833,66.54995,0.,11.269782,ATL
28.032999,63.98164,0.,10.30883,ATL
27.883,65.34384,0.,9.028754,ATL
27.2325,87.80345,1.6,12.864649,FLL
25.432499,88.98194,5.,13.049689,FLL
25.2325,90.31855,0.3,17.339897,FLL
25.082499,93.34962,0.2,12.475961,FLL
24.682499,95.31774,0.,10.105681,FLL
24.4825,96.46474,0.,11.165805,FLL
24.3825,97.04406,0.,10.739833,FLL
24.432499,96.17376,0.,11.269782,FLL
24.3825,96.752716,0.,11.681987,FLL
24.1325,99.10339,0.,11.457958,FLL
23.8825,99.400375,0.,9.726664,FLL
23.8825,98.803856,0.,8.209263,FLL
26.6325,94.82001,0.,5.3517847,FLL
28.832499,84.87787,0.,4.8965297,FLL
30.332499,74.01815,0.,6.638072,FLL
31.2325,68.651344,0.,12.413476,FLL
32.182503,62.753815,0.,12.849528,FLL
32.7825,58.691902,0.,12.324414,FLL
33.2825,55.8735,0.,12.7279215,FLL
32.8825,58.18692,0.1,18.782204,FLL
31.682499,65.14004,0.3,23.233253,FLL
32.1325,62.55502,0.,21.67487,FLL
31.432499,66.46872,0.,22.104116,FLL
30.582499,70.39971,0.,20.5484,FLL
27.7565,63.33262,0.,18.775303,SPS
27.1065,65.99325,0.,29.387999,SPS
26.3565,69.185196,0.,20.991426,SPS
25.3565,72.50552,0.,19.562946,SPS
24.8565,72.19297,0.,19.386593,SPS
24.6065,73.73595,0.,18.514643,SPS
24.5065,75.805984,0.,18.947083,SPS
24.3065,78.64069,0.,17.462782,SPS
24.206501,80.83951,0.,14.417988,SPS
24.0065,82.5746,0.,16.23596,SPS
23.7565,83.82513,0.,15.4800005,SPS
23.456501,85.88036,0.1,14.799459,SPS
23.6065,85.63181,0.,16.42247,SPS
24.706501,80.90412,0.,10.594036,SPS
26.2565,73.78689,0.,12.57426,SPS
27.5565,69.20151,0.2,15.484185,SPS
29.0565,63.61296,0.2,15.815435,SPS
30.8065,58.948757,0.,16.992609,SPS
31.2565,58.873306,0.,12.287555,SPS
31.8565,58.123833,0.,15.0038395,SPS
32.5565,55.026096,0.,8.699793,SPS
33.5565,51.546616,0.,8.287822,SPS
33.7565,50.04939,0.,7.8954163,SPS
34.5565,47.285225,0.,14.658676,SPS
29.961,62.27065,0.,22.366402,SFB
28.561,68.552826,0.,18.532133,SFB
28.061,73.418045,0.,20.056877,SFB
27.111,80.72256,0.,16.45007,SFB
26.411001,85.136795,0.,18.556595,SFB
25.811,87.94641,0.,20.61766,SFB
25.361,90.055756,0.,19.881649,SFB
25.061,91.955,0.,20.969807,SFB
24.861,93.33895,0.,21.30093,SFB
24.811,93.61796,0.,20.3774,SFB
24.711,94.17882,0.,19.319628,SFB
24.911001,94.18726,0.,19.33639,SFB
27.111,89.91029,0.,20.12461,SFB
28.761,81.65926,0.1,17.238699,SFB
29.861,73.94044,0.3,20.65848,SFB
30.661001,69.16123,0.1,21.578989,SFB
32.111,60.51439,0.,24.26998,SFB
32.961,53.96533,0.,26.486313,SFB
33.361,51.340466,0.,28.883131,SFB
31.511,58.575096,0.4,28.357857,SFB
30.261,65.43692,0.3,28.266306,SFB
30.011,67.59707,0.,28.696312,SFB
29.061,72.051765,0.,27.047956,SFB
28.611,74.1787,0.,26.729847,SFB
22.803,69.5895,0.,7.145796,BUF
21.103,74.54397,0.,7.653705,BUF
19.853,80.77589,0.,5.692099,BUF
20.553,75.64966,0.,7.968939,BUF
19.303,83.05266,0.,19.161337,BUF
18.903,89.301544,0.,15.256526,BUF
18.703001,91.28652,0.,16.375053,BUF
18.903,90.152954,0.,18.875126,BUF
18.653,86.21527,0.,16.1198,BUF
17.953001,86.69947,0.,14.386494,BUF
16.803,91.75067,0.,12.819235,BUF
18.453001,86.74697,0.,12.387348,BUF
20.203001,78.04469,0.,9.449572,BUF
21.753,68.50543,0.,4.39436,BUF
23.103,59.182346,0.,6.297428,BUF
24.103,52.229225,0.,7.754637,BUF
24.603,51.517273,0.,10.446206,BUF
24.453001,55.988503,0.,17.22742,BUF
24.553,56.193375,0.,20.188908,BUF
24.403,54.55248,0.,20.898613,BUF
23.853,55.659824,0.,24.023088,BUF
24.403,54.026886,0.,24.967499,BUF
23.553,58.343136,0.,26.242987,BUF
22.703001,65.90765,0.,23.090569,BUF
20.791,93.13869,3.9,24.863466,ABE
20.691,95.17821,0.5,11.592894,ABE
20.241,96.35191,0.,14.84318,ABE
20.441,95.7617,0.,15.575981,ABE
20.640999,95.47181,0.,11.620809,ABE
20.741,95.18002,0.,10.464797,ABE
20.591,96.06351,0.,8.311245,ABE
20.341,96.65389,0.,10.44,ABE
20.091,96.34782,0.,14.003028,ABE
19.741,96.03851,0.,13.830749,ABE
19.291,96.02512,0.,14.291592,ABE
20.140999,93.980774,0.,14.291592,ABE
21.140999,85.11511,0.,11.753876,ABE
21.541,84.626755,0.,12.594856,ABE
22.591,79.38056,0.,18.440998,ABE
24.241,69.64518,0.,22.238562,ABE
25.741,65.71079,0.,17.884428,ABE
26.890999,60.63449,0.,18.440998,ABE
27.541,56.211605,0.,19.914215,ABE
28.041,54.081463,0.,20.371038,ABE
28.191,54.11895,0.,20.018072,ABE
27.541,52.441776,0.,21.068459,ABE
26.191,56.415554,0.,20.390114,ABE
25.041,61.364864,0.,22.89611,ABE
22.192,64.338905,0.,12.144331,DAY
21.792,63.223885,0.,7.92,DAY
21.042,66.40998,0.,6.5693827,DAY
18.042,82.37115,0.,2.8116899,DAY
17.342,86.641106,0.,6.830519,DAY
16.492,91.14383,0.,9.826088,DAY
15.642,93.47385,0.,10.08,DAY
15.292,93.45671,0.,10.948973,DAY
15.292,91.65779,0.,13.755579,DAY
14.842,91.62983,0.,14.05845,DAY
14.792,89.559296,0.,10.703569,DAY
15.142,91.648476,0.,9.422101,DAY
18.442,80.32948,0.,16.80857,DAY
20.742,74.96013,0.,9.178235,DAY
22.942,68.73966,0.,6.3690495,DAY
